studioLabel,genreLabel
Silver Link,isekai
Silver Link,manga et anime d'action
Silver Link,magical girl
Silver Link,vampire anime and manga
Silver Link,anime et manga à mystère
Silver Link,animé mystère
Silver Link,humour noir
Silver Link,humour grinçant
Studio 4°C,magical girl
Studio 4°C,manga ou anime d'aventure
Studio A-Cat,spokon
Studio A-Cat,manga et anime d'action
Studio A-Cat,isekai
Studio A-Cat,manga et animé de fantasy
Studio A-Cat,manga ou anime d'aventure
Studio A.P.P.P.,mecha
Studio A.P.P.P.,anime de science-fiction
Studio A.P.P.P.,manga ou anime d'aventure
Studio A.P.P.P.,post-apocalyptic anime and manga
Studio Bind,harem
Studio Bind,manga et animé de fantasy
Studio Bind,isekai
Studio Bind,animé et manga comique
Studio Bind,animé et manga sur les histoires de vie
Studio Comet,animé et manga d'horreur
Studio Comet,animé et manga en milieu scolaire
Studio Comet,animé et manga sur les histoires de vie
Studio Comet,animé et manga comédie-romantique
Studio Comet,manga et animé de genre drama
Studio Comet,manga et animé romantique
Studio Comet,animé et manga comique
Studio Comet,manga et animé de fantasy
Studio Deen,manga et animé de genre drama
Studio Deen,ecchi
Studio Deen,harem
Studio Deen,animé et manga comique
Studio Deen,dark fantasy
Studio Deen,animé et manga d'horreur
Studio Deen,manga et animé de fantasy
Studio Deen,anime et manga à mystère
Studio Deen,supernatural anime and manga
Studio Deen,animé thriller
Studio Deen,anime de science-fiction
Studio Deen,manga ou anime d'aventure
Studio Deen,LGBT
Studio Deen,yaoi
Studio Deen,séries télévisées sur le thème des LGBTI+
Studio Deen,manga et anime d'action
Studio Deen,comédie romantique
Studio Deen,animé et manga sur les histoires de vie
Studio Deen,yuri
Studio Deen,animé et manga comédie-romantique
Studio Deen,mecha
Studio Deen,humour noir
Studio Deen,gag anime
Studio Deen,coming-of-age television program
Studio Deen,love triangle romance
Studio Deen,animé romantique
Studio Deen,animé surnaturel
Studio Deen,thème voyage dans le temps
Studio Deen,manga et animé romantique
Studio Deen,comédie drame anime et manga
Studio Deen,voyage dans le temps en fiction
Studio Deen,animé et manga en milieu scolaire
Studio Deen,magical girl
Studio Deen,Détective de l'occulte
Studio Deen,isekai
Studio Deen,comédie
Studio Gainax,thriller psychologique
Studio Gainax,science fantasy
Studio Gainax,fiction apocalyptique
Studio Gainax,mecha
Studio Gainax,animé dramatique
Studio Gainax,animé d'action
Studio Gainax,steampunk
Studio Gainax,fiction historique
Studio Gainax,récit initiatique
Studio Gainax,animé de science fiction
Studio Gainax,animé romantique
Studio Gainax,adventure anime
Studio Gainax,ecchi
Studio Gainax,animé et manga comique
Studio Gainax,magical girl
Studio Gainax,animé et manga en milieu scolaire
Studio Gainax,manga et animé romantique
Studio Gainax,comédie drame anime et manga
Studio Gainax,dark fantasy
Studio Gainax,manga et animé de fantasy
Studio Gainax,harem
Studio Gainax,animé et manga sur les histoires de vie
Studio Gokumi,manga et animé de fantasy
Studio Gokumi,animé et manga comédie-romantique
Studio Gokumi,animé et manga comique
Studio Gokumi,animé et manga sur les histoires de vie
Studio Gokumi,vampire anime and manga
Studio Gokumi,cute girls doing cute things
Studio Gokumi,manga et anime d'action
Studio Gokumi,ecchi
Studio Gokumi,harem
Studio Gokumi,anime de science-fiction
Studio Gokumi,animé et manga en milieu scolaire
Studio Gokumi,isekai
Studio Gokumi,supernatural anime and manga
Studio Hibari,animé et manga comique
Studio Hibari,ecchi
Studio Hibari,anime de science-fiction
Studio Hibari,harem
Studio Hibari,mecha
Studio Hibari,manga et anime d'action
Studio Hibari,manga et animé de genre drama
Studio Hibari,ecchi anime and manga
Studio Hibari,supernatural anime and manga
Studio Hibari,historical anime and manga
Studio Hibari,yuri
Studio Hibari,animé et manga en milieu scolaire
Studio Hibari,séries télévisées sur le thème des LGBTI+
Studio Hibari,manga et animé de fantasy
Studio VOLN,mecha
Studio VOLN,manga ou anime d'aventure
SynergySP,harem
SynergySP,animé et manga comique
SynergySP,manga et anime d'action
SynergySP,manga et animé de fantasy
SynergySP,animé et manga comédie-romantique
SynergySP,magical girl
SynergySP,manga et animé romantique
SynergySP,historical anime and manga
SynergySP,anime de science-fiction
TMS Entertainment,mecha
TMS Entertainment,anime de science-fiction
TMS Entertainment,manga et animé de fantasy
TMS Entertainment,manga ou anime d'aventure
TMS Entertainment,comédie drame anime et manga
TMS Entertainment,fantasy
TMS Entertainment,fiction de détective
TMS Entertainment,roman policier
TMS Entertainment,cross-over
TMS Entertainment,récit initiatique
TMS Entertainment,historical anime and manga
TMS Entertainment,film d'aventure
TMS Entertainment,film d'action
TMS Entertainment,gag manga
TMS Entertainment,post-apocalyptic anime
TMS Entertainment,animé mystère
TMS Entertainment,manga et animé romantique
TMS Entertainment,love triangle romance
TMS Entertainment,animé surnaturel
TMS Entertainment,ecchi
TMS Entertainment,harem
TMS Entertainment,gag anime
TMS Entertainment,animé et manga comédie-romantique
TMS Entertainment,animé romantique
TMS Entertainment,spokon
TMS Entertainment,animé et manga sur les histoires de vie
TMS Entertainment,isekai
TMS Entertainment,animé et manga en milieu scolaire
TMS Entertainment,animé et manga comique
TMS Entertainment,manga et animé de genre drama
TMS Entertainment,humour
TMS Entertainment,programme télévisé d'anime
TNK,anime de science-fiction
TNK,animé et manga comique
TNK,manga ou anime d'aventure
TNK,magical girl
TNK,manga et animé de fantasy
TNK,harem
TNK,manga et animé de genre drama
TNK,manga et animé romantique
TNK,voyage dans le temps en fiction
TNK,mecha
TNK,séries télévisées sur le thème des LGBTI+
TNK,yuri
TNK,ecchi
TYO Animations,animé et manga comédie-romantique
TYO Animations,tranche de vie
TYO Animations,Iyashikei
TYO Animations,cute girls doing cute things
TYO Animations,magical girl
TYO Animations,animé et manga comique
TYO Animations,manga et animé de genre drama
Tatsunoko Production,thriller psychologique
Tatsunoko Production,science fantasy
Tatsunoko Production,fiction apocalyptique
Tatsunoko Production,mecha
Tatsunoko Production,animé dramatique
Tatsunoko Production,animé d'action
Tatsunoko Production,manga et anime d'action
Tatsunoko Production,anime et manga à mystère
Tatsunoko Production,manga ou anime d'aventure
Tatsunoko Production,post-apocalyptic anime and manga
Tatsunoko Production,animé et manga comique
Tatsunoko Production,manga et animé de genre drama
Tatsunoko Production,anime de science-fiction
Tatsunoko Production,télévision musicale
Tatsunoko Production,animé et manga sur les histoires de vie
Tatsunoko Production,musique
Tatsunoko Production,mode
Tatsunoko Production,idole japonaise
Tatsunoko Production,série télévisée comique
Tatsunoko Production,animé et manga en milieu scolaire
Tatsunoko Production,comédie drame anime et manga
Tatsunoko Production,manga et animé romantique
Tatsunoko Production,historical anime and manga
Tatsunoko Production,supernatural anime and manga
Tatsunoko Production,fiction d'aventures
Tatsunoko Production,drame
Tatsunoko Production,film de sport
Tatsunoko Production,DATA CARDDASS
Tezuka Productions,film de fantasy
Tezuka Productions,manga et animé de fantasy
Tezuka Productions,dark fantasy
Tezuka Productions,supernatural anime and manga
Tezuka Productions,historical anime and manga
Tezuka Productions,yuri
Tezuka Productions,séries télévisées sur le thème des LGBTI+
Tezuka Productions,animé et manga en milieu scolaire
Tezuka Productions,animé et manga comédie-romantique
Triangle staff corp.,cyberpunk
Triangle staff corp.,anime de science-fiction
Triangle staff corp.,animé de science fiction
Triangle staff corp.,animé et manga en milieu scolaire
Trigger,magical girl
Trigger,animé et manga comique
Trigger,manga et anime d'action
Trigger,manga et animé de fantasy
Trigger,soundtrack
Trigger,anime de science-fiction
Trigger,manga et animé de genre drama
Trigger,anti-war fiction
Trigger,comédie télévisuelle
Trigger,mecha
Trigger,post-apocalyptic anime
Troyca,mecha
Troyca,anime et manga à mystère
Troyca,yuri
Troyca,séries télévisées sur le thème des LGBTI+
Tōei animation,anime de science-fiction
Tōei animation,manga et animé de fantasy
Tōei animation,manga ou anime d'aventure
Tōei animation,manga et anime d'action
Tōei animation,comédie drame anime et manga
Tōei animation,film d'action
Tōei animation,film d'aventure
Tōei animation,animé et manga sur les histoires de vie
Tōei animation,manga et animé de genre drama
Tōei animation,magical girl
Tōei animation,spokon
Tōei animation,adaptation cinématographique
Tōei animation,animé et manga en milieu scolaire
Tōei animation,mecha
Tōei animation,anime
Tōei animation,gag anime
Tōei animation,Monster of the Week
Tōei animation,love triangle romance
Tōei animation,animé romantique
Tōei animation,animé et manga comique
Tōei animation,thème voyage dans le temps
Tōei animation,fiction de pirates
Tōei animation,manga et animé romantique
Tōei animation,comédie
Tōei animation,animé et manga d'horreur
Tōei animation,animé mystère
Tōei animation,adaptation d'un roman à la télévision
Tōei animation,série télévisée de science-fiction
Tōei animation,série télévisée d'animation
Tōei animation,J-pop
Ufotable,space opera
Ufotable,anime de science-fiction
Ufotable,manga ou anime d'aventure
Ufotable,manga et anime d'action
Ufotable,anime et manga à mystère
Ufotable,thème voyage dans le temps
Ufotable,dark fantasy
Ufotable,récit initiatique
White fox,isekai
White fox,dark fantasy
White fox,harem
White fox,manga et animé de fantasy
White fox,animé et manga comique
White fox,manga et animé romantique
White fox,animé et manga sur les histoires de vie
Wit Studio,humour noir
Wit Studio,steampunk
Wit Studio,manga et animé de genre drama
Wit Studio,manga et animé de fantasy
Wit Studio,manga ou anime d'aventure
Wit Studio,post-apocalyptic anime
Wit Studio,dark fantasy
Wit Studio,animé thriller
Wit Studio,manga et animé romantique
Wit Studio,manga et anime d'action
Wit Studio,historical anime and manga
Wit Studio,anime de science-fiction
Wit Studio,vampire anime and manga
Wit Studio,anime et manga à mystère
Wit Studio,supernatural anime and manga
Wit Studio,animé et manga comique
Zero-G,animé et manga comique
Zero-G,manga et animé de fantasy
Zero-G,animé et manga comédie-romantique
Zero-G,isekai
Zexcs,magical girl
Zexcs,manga et anime d'action
Zexcs,animé et manga comique
Zexcs,harem
Zexcs,manga et animé de fantasy
Zexcs,ecchi
Zexcs,animé et manga en milieu scolaire
Zexcs,supernatural anime and manga
Zexcs,animé et manga sur les histoires de vie
Zexcs,manga et animé romantique
Zexcs,comédie drame anime et manga
